Wavelength	Ellip23 RT	Ellip25 RT	Ellip38 RT	Ellip62 RT	Ellip23	Ellip25	Ellip38	Ellip62
275	-41677.63636	-26298.61111	-54542.74286	-44247.04348	-13265.90909	-30501.66667	-9385.36	-40680.78261
274.5	-38458.81818	-22862.12963	-51736.11429	-37532.08696	-16206.72727	-22965.46296	-1659.977143	-43184.78261
274	-39079.81818	-27189.07407	-47514.62857	-33832.26087	-17125.81818	-19980.09259	-3398.228571	-47397.56522
273.5	-35425.27273	-23753.14815	-46902.85714	-29322.52174	-15831.45455	-19445.37037	-5140.868571	-49675.65217
273	-29786.72727	-19202.12963	-37771.54286	-26755.47826	-19966.45455	-26018.7037	-4576.377143	-45740.86957
272.5	-25012.09091	-11324.72222	-35848.11429	-25250.34783	-27090.45455	-32830.64815	-10204.30857	-44296.08696
272	-26344.09091	-9848.518519	-38736.8	-28570.17391	-27946	-30961.01852	-8245.154286	-41899.91304
271.5	-29779.45455	-10544.16667	-38477.6	-29922.95652	-30096.09091	-26716.2963	-6804.342857	-42681.91304
271	-29378.09091	-9929.814815	-33000.68571	-28266.17391	-23323.45455	-18820.09259	-3867.154286	-38479.56522
270.5	-31812.63636	-18644.07407	-33766.74286	-31074.17391	-18344.90909	-19553.51852	-2312.708571	-39034.52174
270	-24587.72727	-14918.33333	-32121.48571	-30907.3913	-12948.63636	-22865.46296	-1279.782857	-37209.91304
269.5	-26141.90909	-16842.40741	-33869.71429	-26769.56522	-12427.72727	-28153.51852	-2644.948571	-39626.69565
269	-21489.81818	-13287.87037	-33798.05714	-23443.13043	-13271.09091	-25979.16667	1693.337143	-38153.21739
268.5	-22498.45455	-10521.48148	-32632.91429	-20647.30435	-12958	-23045.27778	4785.051429	-34237.82609
268	-22421.36364	-9740.37037	-32011.65714	-20111.47826	-14114.63636	-19176.48148	5236.651429	-31195.21739
267.5	-26962.36364	-13723.05556	-29994.97143	-23899.65217	-11829.63636	-18566.48148	2990.411429	-31917.73913
